,Germ.GC,Germ.PGC,Germ.oocyte,Germ.oogonia_STRA8,Germ.oogonia_meiotic,Germ.pre_oocyte,Somatic.CoelEpi_LHX9,Somatic.OSE,Somatic.early_supporting,Somatic.granulosa,Somatic.preGC_I,Somatic.preGC_IIa,Somatic.preGC_IIb
SEC63,0.81,0.91,0.49,0.75,0.6,0.48,0.77,0.75,0.71,0.52,0.55,0.68,0.58
SECISBP2,0.9,0.87,0.81,0.92,0.78,0.78,0.52,0.47,0.48,0.24,0.37,0.41,0.32
SECISBP2L,0.75,0.77,0.44,0.75,0.57,0.57,0.42,0.39,0.57,0.52,0.51,0.41,0.47
SECTM1,0.0,0.0,0.03,0.0,0.0,0.01,0.09,0.07,0.01,0.04,0.01,0.01,0.01
SEH1L,0.2,0.38,0.26,0.27,0.22,0.22,0.27,0.23,0.23,0.23,0.15,0.2,0.18
SEL1L,0.4,0.33,0.43,0.57,0.39,0.48,0.31,0.27,0.29,0.38,0.22,0.19,0.23
SEL1L2,0.1,0.06,0.02,0.11,0.17,0.12,0.01,0.01,0.0,0.0,0.0,0.0,0.01
SEL1L3,0.0,0.0,0.01,0.01,0.0,0.0,0.11,0.16,0.03,0.11,0.04,0.06,0.11
SELE,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0
SELENBP1,0.15,0.15,0.04,0.03,0.02,0.03,0.55,0.39,0.38,0.16,0.39,0.26,0.19
SELENOF,0.42,0.57,0.58,0.58,0.57,0.58,0.81,0.74,0.8,0.6,0.69,0.7,0.64
SELENOH,1.0,1.0,0.93,0.98,0.82,0.78,0.9,0.9,0.94,0.8,0.87,0.93,0.9
SELENOI,0.29,0.28,0.28,0.25,0.22,0.19,0.17,0.13,0.19,0.1,0.1,0.1,0.1
SELENOK,0.38,0.61,0.58,0.34,0.49,0.57,0.64,0.65,0.67,0.53,0.58,0.56,0.64
SELENOM,0.89,0.8,0.32,0.8,0.35,0.43,0.39,0.27,0.2,0.47,0.26,0.34,0.35
